Shloka Number,Title,Head Word,Sub-Head Word,Synonyms,Rasa,Guna,Virya,Vipaka,Karma,,,,
,,अथ हरीतक्यादिवर्गः ,,,,,,,,,,,
1-5,तत्र प्रथमं हरीतक्या उत्पत्तिनामलक्षणगुणानाह,हरीतकी,,"अभया, पथ्या, कायस्था, पूतना,अमृता, 
हैमवती, अव्यथा, चेतकी, श्रेयसी, शिवा, 
वयस्था, विजया, जीवन्ती, रोहिणी,",पञ्चरस अलवण,"रूक्ष, लघु",उष्ण,मधुर/स्वादु,"दीपनी, मेध्या, रसायनी,
चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,  
श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी 
वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर, 
गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय, 
कामला, शूल, अनाह, प्लीह, यकृत्, 
अश्मरी, मूत्रकृच्छ्र, मूत्राघात",,,,
6-7,अथ हरीतकीनामान्या,,,,,,,,,,,,
8,अथ हरीतक्याः सप्तभेदानाह,,"विजया, रोहिणी, पूतना, अमृता, अभया, जीवन्ती, चेतकी",,,,,,,,,,
,अथ सप्तजातेर्हरीतक्या उत्पत्तिस्थानान्याह,,"विन्ध्य - विजया, हिमालय - चेतकी, सिन्धु - पूतना, प्रत्येकस्थान - रोहिणी, चम्पा - अमृता, अभया सोरठ - जीवन्ती",,,,,,,,,,
9-10,अथ तेषां पृथग्लक्षणान्याह,,विजया – अलाबुवृत्ता; रोहिणी – वृत्ता; पूतना – स्थिमती सूक्ष्मा; अमृता – मांसला; अभया – पञ्चरेखा; जीवन्ती – स्वर्णवर्णिनी; चेतकी – त्रिरेखा,,,,,,,,,,
11-18,अथ हरीतकीप्रयोगानाह,,विजया – सर्वरोगे; रोहिणी – व्रणरोहिणी; पूतना – प्रलेपे; अमृता – शोधनार्थे हिता; अभया – अक्षिरोगे; जीवन्ती – सर्वरोगहृत्; चेतकी – चूर्णार्थे,,,,,,,,,,
19-22,अथ हरीतकीगुणानाह,,,,पञ्चरस अलवण तुवर कषाय ,"रूक्ष, लघु",उष्ण,मधुर/स्वादु,"दीपनी, मेध्या, रसायनी,
चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,  
श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी 
वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर, 
गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय, 
कामला, शूल, अनाह, प्लीह, यकृत्, 
अश्मरी, मूत्रकृच्छ्र, मूत्राघात",,,,
23-26,अथ हरीतक्याः प्रभावनिबन्धनं दोषहन्तृत्वं न तु रसनिबन्धनमित्याह,,,,"स्वादु, तिक्त, कषाय, अम्ल, कटु ",,,,"पित्तहृत्, कफहृत्, वातहृत्, त्रिदोषहन्तृत्व",,,,
27,अथ हरीतक्यां तद्रसादीनां स्थानान्याह,,,,पथ्याया मज्जनि – स्वादु; स्नाय्वाम् – आम्ल; वृन्ते – तिक्त; त्वचि – कटु; अस्थि - तुवर,,,,,,,,
